database_name,schema_name,table_name,column_name,description,data_type,is_primary_key,is_foreign_key,is_nullable
ecommerce_db,acme_corp,campaigns,budget_usd,Planned budget in USD.,NUMERIC,False,False,True
ecommerce_db,acme_corp,campaigns,campaign_id,Unique campaign identifier (format: CAMP###). Primary key.,STRING,True,False,False
ecommerce_db,acme_corp,campaigns,channel,"Channel: email, social, paid_search, event, content, ads.",STRING,False,False,True
ecommerce_db,acme_corp,campaigns,end_date,Campaign end date.,DATE,False,False,True
ecommerce_db,acme_corp,campaigns,name,Campaign display name.,STRING,False,False,True
ecommerce_db,acme_corp,campaigns,owner_employee_id,FK to employees.employee_id of the campaign owner.,STRING,False,False,True
ecommerce_db,acme_corp,campaigns,spend_usd,Actual spend to date in USD.,NUMERIC,False,False,True
ecommerce_db,acme_corp,campaigns,start_date,Campaign start date.,DATE,False,False,True
ecommerce_db,acme_corp,compensation,approved_by,FK to employees.employee_id of the approver.,STRING,False,False,True
ecommerce_db,acme_corp,compensation,base_salary,Annualized base salary in the specified currency.,NUMERIC,False,False,True
ecommerce_db,acme_corp,compensation,bonus_target_pct,Target bonus as a percentage of base salary.,NUMERIC,False,False,True
ecommerce_db,acme_corp,compensation,change_type,"Reason for the change: new_hire, merit, promotion, adjustment.",STRING,False,False,True
ecommerce_db,acme_corp,compensation,compensation_id,Unique comp record (format: COMP###). Primary key.,STRING,True,False,False
ecommerce_db,acme_corp,compensation,currency,ISO 4217 currency code.,STRING,False,False,True
ecommerce_db,acme_corp,compensation,effective_date,Date the comp change takes effect. Table is partitioned on this column.,DATE,False,False,False
ecommerce_db,acme_corp,compensation,employee_id,FK to employees.employee_id.,STRING,False,True,False
ecommerce_db,acme_corp,compensation,equity_grant_usd,Equity grant value in USD at grant time. 0 for cash-only roles.,NUMERIC,False,False,True
ecommerce_db,acme_corp,customer_addresses,address_id,Unique address identifier (format: ADDR###). Primary key.,STRING,True,False,False
ecommerce_db,acme_corp,customer_addresses,address_type,"Address type: billing, shipping, hq.",STRING,False,False,True
ecommerce_db,acme_corp,customer_addresses,city,City.,STRING,False,False,True
ecommerce_db,acme_corp,customer_addresses,country,ISO 3166-1 alpha-2 country code.,STRING,False,False,True
ecommerce_db,acme_corp,customer_addresses,customer_id,FK to customers.customer_id.,STRING,False,True,False
ecommerce_db,acme_corp,customer_addresses,is_primary,TRUE for the primary address of this type.,BOOL,False,False,True
ecommerce_db,acme_corp,customer_addresses,line1,Street address line 1.,STRING,False,False,True
ecommerce_db,acme_corp,customer_addresses,line2,"Street address line 2 (suite, floor). May be NULL.",STRING,False,False,True
ecommerce_db,acme_corp,customer_addresses,postal_code,Postal or ZIP code.,STRING,False,False,True
ecommerce_db,acme_corp,customer_addresses,region,State / province / region.,STRING,False,False,True
ecommerce_db,acme_corp,customer_contacts,contact_id,Unique contact identifier (format: CONTACT###). Primary key.,STRING,True,False,False
ecommerce_db,acme_corp,customer_contacts,created_at,Row insert timestamp.,TIMESTAMP,False,False,True
ecommerce_db,acme_corp,customer_contacts,customer_id,FK to customers.customer_id.,STRING,False,True,False
ecommerce_db,acme_corp,customer_contacts,email,Contact work email.,STRING,False,False,True
ecommerce_db,acme_corp,customer_contacts,first_name,Contact first name.,STRING,False,False,True
ecommerce_db,acme_corp,customer_contacts,is_decision_maker,TRUE if the contact has buying authority.,BOOL,False,False,True
ecommerce_db,acme_corp,customer_contacts,is_primary,TRUE for the primary account contact. At most one per customer.,BOOL,False,False,True
ecommerce_db,acme_corp,customer_contacts,last_name,Contact last name.,STRING,False,False,True
ecommerce_db,acme_corp,customer_contacts,phone,Contact phone in E.164 format.,STRING,False,False,True
ecommerce_db,acme_corp,customer_contacts,title,Contact job title at the customer.,STRING,False,False,True
ecommerce_db,acme_corp,customers,account_owner_id,FK to employees.employee_id. Current account owner (AE or CSM).,STRING,False,True,True
ecommerce_db,acme_corp,customers,acquired_date,Date the customer signed the first contract.,DATE,False,False,True
ecommerce_db,acme_corp,customers,annual_revenue_usd,"Estimated customer annual revenue in USD, from enrichment data.",NUMERIC,False,False,True
ecommerce_db,acme_corp,customers,company_name,Legal company name.,STRING,False,False,False
ecommerce_db,acme_corp,customers,country,ISO 3166-1 alpha-2 headquarters country.,STRING,False,False,True
ecommerce_db,acme_corp,customers,created_at,Row insert timestamp.,TIMESTAMP,False,False,True
ecommerce_db,acme_corp,customers,customer_id,Unique customer account identifier (format: CUST###). Primary key.,STRING,True,False,False
ecommerce_db,acme_corp,customers,employee_count,Estimated customer employee count.,INT64,False,False,True
ecommerce_db,acme_corp,customers,health_score,Account health score 0-100. Computed by Customer Success model.,NUMERIC,False,False,True
ecommerce_db,acme_corp,customers,industry,"Industry vertical (e.g. financial_services, retail, healthcare).",STRING,False,False,True
ecommerce_db,acme_corp,customers,lifetime_value_usd,"Cumulative revenue from this customer to date, in USD.",NUMERIC,False,False,True
ecommerce_db,acme_corp,customers,segment,"Sales segment: enterprise, mid_market, smb.",STRING,False,False,True
ecommerce_db,acme_corp,customers,status,"Account status: active, churned, prospect.",STRING,False,False,True
ecommerce_db,acme_corp,customers,tags,"ARRAY of free-form tags (e.g. strategic, at_risk, case_study).",ARRAY<STRING>,False,False,False
ecommerce_db,acme_corp,customers,website,Customer primary website domain.,STRING,False,False,True
ecommerce_db,acme_corp,departments,budget_annual_usd,Approved annual operating budget in USD.,NUMERIC,False,False,True
ecommerce_db,acme_corp,departments,cost_center,Finance cost center code used in GL postings.,STRING,False,False,True
ecommerce_db,acme_corp,departments,created_at,Row insert timestamp.,TIMESTAMP,False,False,True
ecommerce_db,acme_corp,departments,department_id,Unique department identifier (format: DEPT###). Primary key.,STRING,True,False,False
ecommerce_db,acme_corp,departments,head_employee_id,Logical FK to employees.employee_id. The department head / senior leader.,STRING,False,True,True
ecommerce_db,acme_corp,departments,name,"Department display name (e.g. Engineering, Customer Success).",STRING,False,False,False
ecommerce_db,acme_corp,departments,parent_department_id,Logical self-reference to departments.department_id. NULL for top-level departments.,STRING,False,False,True
ecommerce_db,acme_corp,employee_role_history,change_reason,"Why the change happened: new_hire, promotion, lateral, reorg, termination.",STRING,False,False,True
ecommerce_db,acme_corp,employee_role_history,department_id,FK to departments.department_id during this period.,STRING,False,True,True
ecommerce_db,acme_corp,employee_role_history,employee_id,FK to employees.employee_id.,STRING,False,True,False
ecommerce_db,acme_corp,employee_role_history,end_date,Last day in this role. NULL for the current role.,DATE,False,False,True
ecommerce_db,acme_corp,employee_role_history,job_title_id,FK to job_titles.job_title_id. Title held during this period.,STRING,False,True,False
ecommerce_db,acme_corp,employee_role_history,manager_id,FK to employees.employee_id. Manager during this period.,STRING,False,True,True
ecommerce_db,acme_corp,employee_role_history,role_history_id,Unique role history record (format: RH###). Primary key.,STRING,True,False,False
ecommerce_db,acme_corp,employee_role_history,start_date,First day in this role.,DATE,False,False,False
ecommerce_db,acme_corp,employee_role_history,team_id,FK to teams.team_id during this period.,STRING,False,True,True
ecommerce_db,acme_corp,employee_training,completed_at,When the employee completed the course. NULL if in progress or abandoned.,TIMESTAMP,False,False,True
ecommerce_db,acme_corp,employee_training,completion_status,"Status: completed, in_progress, abandoned.",STRING,False,False,True
ecommerce_db,acme_corp,employee_training,course_id,FK to training_courses.course_id.,STRING,False,True,False
ecommerce_db,acme_corp,employee_training,employee_id,FK to employees.employee_id.,STRING,False,True,False
ecommerce_db,acme_corp,employee_training,enrolled_at,When the employee enrolled.,TIMESTAMP,False,False,True
ecommerce_db,acme_corp,employee_training,enrollment_id,Unique enrollment identifier (format: ENR###). Primary key.,STRING,True,False,False
ecommerce_db,acme_corp,employee_training,score,Final score (0-100). NULL if no assessment or not completed.,NUMERIC,False,False,True
ecommerce_db,acme_corp,employees,country,ISO 3166-1 alpha-2 country of residence for tax purposes.,STRING,False,False,True
ecommerce_db,acme_corp,employees,created_at,Row insert timestamp.,TIMESTAMP,False,False,True
ecommerce_db,acme_corp,employees,date_of_birth,Date of birth. Sensitive PII — access-controlled.,DATE,False,False,True
ecommerce_db,acme_corp,employees,department_id,FK to departments.department_id.,STRING,False,True,True
ecommerce_db,acme_corp,employees,email,Corporate email address. Unique per active employee.,STRING,False,False,False
ecommerce_db,acme_corp,employees,emergency_contact,"STRUCT with name, relation, phone for emergency contact. Sensitive PII.","STRUCT<name STRING, relation STRING, phone STRING>",False,False,True
